# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: $\pi^+$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e-01 0.800000e+01
# YLims: 9.000000e-10 1.100000e+01
# xmin xmax y y_err
1.000000e+00 1.100000e+00 2.400000e-02 2.162044e-03
1.100000e+00 1.200000e+00 1.550000e-02 1.460151e-03
1.200000e+00 1.400000e+00 8.190000e-03 7.602769e-04
1.400000e+00 1.600000e+00 3.770000e-03 3.895125e-04
1.600000e+00 1.800000e+00 1.840000e-03 2.450000e-04
1.800000e+00 2.000000e+00 8.320000e-04 1.785050e-04
2.000000e+00 2.500000e+00 3.650000e-04 1.072832e-04
2.500000e+00 3.000000e+00 1.020000e-04 1.334624e-05
3.000000e+00 3.500000e+00 2.900000e-05 3.808619e-06
3.500000e+00 4.000000e+00 1.000000e-05 1.334618e-06
4.000000e+00 4.500000e+00 3.930000e-06 5.375965e-07
4.500000e+00 5.000000e+00 1.400000e-06 2.076632e-07
5.000000e+00 6.000000e+00 4.530000e-07 7.125461e-08
6.000000e+00 7.000000e+00 1.070000e-07 2.526697e-08
7.000000e+00 8.000000e+00 3.270000e-08 1.320275e-08
